godina,upravaid,uprava,sumarijaid,sumarija,vrstaid,vrstadrva,doznaceno
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,01,HRAST LUŽNJAK,63752
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,12,JASEN POLJSKI,16370
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,15,JASEN AMERIČKI,296
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,16,GRAB OBIČNI,11142
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,22,KLEN,816
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,26,BRIJEST VEZ,3251
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,27,BAGREM,87
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,38,VOĆKE OSTALE,48
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,39,OSTALA TVRDA BJELOGORICA,178
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,01,Šumarija Cerna,59,OSTALA MEKA BJELOGORICA,48
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,01,HRAST LUŽNJAK,13865
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,12,JASEN POLJSKI,11939
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,15,JASEN AMERIČKI,2712
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,16,GRAB OBIČNI,3027
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,22,KLEN,1843
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,26,BRIJEST VEZ,637
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,27,BAGREM,984
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,28,ORAH CRNI,240
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,39,OSTALA TVRDA BJELOGORICA,18
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,42,LIPA,1648
2015,01,UPRAVA ŠUMA PODRUŽNICA VINKOVCI,02,Šumarija Gunja,43,JOHA CRNA,428
