"rb";"nazivDobavljaca";"nazivPruzatelja";"oib";"adresaPruzatelja";"rbDatumRacuna";"brMedijskihUsluga";"iznosCijeneBezPopusta";"popustPostotak";"placeniIznosPopust";"obveznik_id"
"1";"ALFA RADIO d.o.o.";"ALFA RADIO d.o.o.";"88730888278";"Trg Eugena Kvaternika 7a, BJELOVAR";"račun 261/1/1000; rn predujam 9/1/2960 / 24.06.2020";"63";6024.38;0;6024.38;"2000226439"
"2";"NOVI LIST d.d.";"NOVI LIST d.d.";"44110106406";"Zvonimirova 20a, RIJEKA";"ponuda 159-086, rn 1209/1/086 / 24.06.2020";"1";5517.5;20;5517.5;"2000226439"
"3";"NOVI LIST d.d.";"NOVI LIST d.d.";"44110106406";"Zvonimirova 20a, RIJEKA";"ponuda 159-086, rn 1209/1/086 / 24.06.2020";"1";5517.5;20;5517.5;"2000226439"
"4";"HRVATSKA RADIOTELEVIZIJA, RJ MARKETING HRT-RADIO RIJEKA";"HRVATSKA RADIOTELEVIZIJA, RJ MARKETING HRT-RADIO RIJEKA";"68419124305";"Korzo 24, RIJEKA";"ponuda 808180-84204-38590; rn 274-8400-1 / 25.06.2020";"5";1452;50;907.5;"2000226439"
"5";"HRVATSKA RADIOTELEVIZIJA, RJ MARKETING HRT-RADIO RIJEKA";"HRVATSKA RADIOTELEVIZIJA, RJ MARKETING HRT-RADIO RIJEKA";"68419124305";"Korzo 24, RIJEKA";"predračun 808180-84204-38590; rn 274-8400-1 / 25.06.2020";"5";5808;50;3630;"2000226439"
"6";"MEDIA FI d.o.o.";"MEDIA FI d.o.o.  - Radio Rovinj";"06285889438";"Zagrebačka 12a, ROVINJ";"ponuda P2020-0157; rn 183-1-1 / 25.06.2020";"50";4250;5;5046.88;"2000226439"
"7";"RADIO ISTRA -CIK Dr.Božo Milanović d.o.o.";"RADIO ISTRA-CIK Dr.Božo Milanović d.o.o.";"63397242948";"Jurja Dobrile 6, PAZIN";"rn 474-1-1 / 26.06.2020";"87";8850;10;9956.25;"2000226439"
"8";"RADIO VRBOVEC d.o.o.";"RADIO VRBOVEC d.o.o.";"63084848982";"Trg Petra Zrinskog 7, VRBOBEC";"rn 183/1/1 / 26.06.2020";"20";1300;10;1462.5;"2000226439"
"9";"OBITELJSKI RADIO IVANIĆ";"OBITELJSKI RADIO IVANIĆ";"74613812885";"PARK STJEPANA POSEZIJA 6, IVANIĆ GRAD";"RN 20/0000124 / 29.06.2020";"1";1000;0;1000;"2000226439"
"10";"HRVATSKA RADIOTELEVIZIJA, RADIO SLJEME";"HRVATSKA RADIOTELEVIZIJA, RADIO SLJEME";"69519718618";"PRISAVLJE, ZAGREB";"RN 117-1000-1 / 30.06.2020";"50";20250;50;12656.25;"2000226439"
"11";"RADIO BANOVINA d.o.o.";"RADIO BANOVINA d.o.o.";"90924443753";"Slatina Pokupska 80, GLINA";"rn 294/1/1 / 30.06.2020";"2";5000;5;5937.5;"2000226439"
"12";"RADIO CENTAR-STUDIO POREČ d.o.o.";"RADIO CENTAR-STUDIO POREČ d.o.o.";"88815944654";"Vitomira Širole Paje, POREČ";"111/P2/2 / 30.06.2020";"54";4190.4;5;4976.1;"2000226439"
"13";"RADIO GORSKI KOTAR d.o.o.";"RADIO GORSKI KOTAR d.o.o.";"73841607414";"Trg 138 brigade HV 4, DELNICE";"rn 97-2-1 / 30.06.2020";"60";4017;21;3966.79;"2000226439"
"14";"RADIO LABIN d.o.o.";"RADIO LABIN d.o.o.";"76567298947";"Rudarska 3b, LABIN";"rn 330-1-1 / 30.06.2020";"24";2035;0;2543.75;"2000226439"
"15";"HANZA MEDIA d.o.o.";"GLORIA";"79517545745";"KORANSKA 2, ZAGREB";"RN 8740-0102-1 / 02.07.2020";"1";19500;20;19500;"2000226439"
"16";"RADIO DARUVAR d.o.o.";"RADIO DARUVAR d.o.o.";"92861896581";"Trg dr.Franje Tuđmana 7, DARUVAR";"rn 297-1-1 / 03.07.2020";"30";1200;0;1500;"2000226439"
"17";"HRVATSKA RADIOTELEVIZIJA, RADIO SLJEME";"HRVATSKA RADIOTELEVIZIJA, RADIO SLJEME";"69519718618";"PRISAVLJE 3, ZAGREB";"rn 152-1000-1 / 06.07.2020";"30";12150;50;7593.75;"2000226439"
"18";"HRVATSKA RADIOTELEVIZIJA, RJ MARKETING HRT-RADIO RIJEKA";"HRVATSKA RADIOTELEVIZIJA, RJ MARKETING HRT-RADIO RIJEKA";"69519718618";"Korzo 24, RIJEKA";"RN 313-8400-1 / 06.07.2020";"14";4620;50;2887.5;"2000226439"
"19";"RADIO STAR TV d.o.o.";"RADIO STAR TV d.o.o.";"64008276150";"ROŽAC 23, UMAG";"RN 66-1-2 / 07.07.2020";"70";6655.33;10;7487.25;"2000226439"
"1";"HIT RADIO d.o.o.";"HIT RADIO d.o.o.";"82297906250";"Glavička 29, Sinj";"173/MO2/2 / 19.06.2020";"30x30s";3000;0;3750;"1690244322"
"2";"VARAŽDINSKE VIJESTI d.d.";"VARAŽDINSKE VIJESTI d.d.";"89407840770";"Supilova 7b, Varaždin";"1318/V/1 / 22.06.2020";"1";4500;0;5625;"1690244322"
"3";"ANTENNA d.o.o.";"Antenna d.o.o.";"92341334151";"Ivana Lucića 18c, Zadar";"182/2020 / 23.06.2020";"1";5000;0;6250;"1690244322"
"4";"DUBROVNIK INSIDER d.o.o.";"DUBROVNIK INSIDER d.o.o.";"15176054147";"Vukovarska 17, Dubrovnik";"108-1-1 / 23.06.2020";"1";3000;0;3750;"1690244322"
"5";"HRVATSKI RADIO VUKOVAR d.o.o.";"HRVATSKI RADIO VUKOVAR d.o.o.";"97683222809";"Dr. Franje Tuđmana 13, Vukovar";"260 / 23.06.2020";"35x20 sec";2625;5;3117.19;"1690244322"
"6";"HRVATSKI RADIO VUKOVAR d.o.o.";"HRVATSKI RADIO VUKOVAR d.o.o.";"97683222809";"Dr. Franje Tuđmana 13, Vukovar";"261 / 23.06.2020";"2x15 min";2700;0;3375;"1690244322"
"7";"HRVATSKI RADIO VUKOVAR d.o.o.";"HRVATSKI RADIO VUKOVAR d.o.o.";"97683222809";"Dr. Franje Tuđmana 13, Vukovar";"262 / 23.06.2020";"1";1690;0;2112.5;"1690244322"
"8";"HRVATSKI RADIO ŽUPANJA d.o.o.";"HRVATSKI RADIO ŽUPANJA d.o.o.";"52978095437";"Veliki kraj 66, Županja";"53/20 / 23.06.2020";"45";1800;0;2250;"1690244322"
"9";"RADIO BANOVINA d.o.o.";"RADIO BANOVINA d.o.o.";"90924443753";"Slatina Pokupska 80, Glina";"272/1/1 / 23.06.2020";"52";4850;5;5759.38;"1690244322"
"10";"SLAVONSKA POSAVINA d.o.o.";"SLAVONSKA POSAVINA d.o.o.";"08220453686";"Dr. Mile Budaka 1, Slavonski Brod";"42 / 23.06.2020";"1";3000;0;3750;"1690244322"
"11";"SLAVONSKO-BRODSKA TELEVIZIJA d.o.o.";"SLAVONSKO-BRODSKA TELEVIZIJA d.o.o.";"19751090713";"Mile BUdaka 1/4, Slavonski Brod";"2 / 23.06.2020";"1x15 min";2400;0;3000;"1690244322"
"12";"HRVATSKI RADIO VUKOVAR d.o.o.";"Vukovarske novine";"97683222809";"Dr. Franje Tuđmana 13, Vukovar";"273 / 24.06.2020";"1";5070;0;6337.5;"1690244322"
"13";"UDRUGA ZA MEDIJSKU KULTURU, PLIRALIZAM I KOMUNIKACIJU ""PRESS+""";"UDRUGA ZA MEDIJSKU KULTURU, PLIRALIZAM I KOMUNIKACIJU ""PRESS+""";"29925686989";"Luje Adamića 6, Vinkovci";"25/1/1 / 24.06.2020";"1";5500;0;5500;"1690244322"
"14";"UDRUGA ZA MEDIJSKU KULTURU, PLIRALIZAM I KOMUNIKACIJU ""PRESS+""";"UDRUGA ZA MEDIJSKU KULTURU, PLIRALIZAM I KOMUNIKACIJU ""PRESS+""";"29925686989";"Luje Adamića 6, Vinkovci";"26/1/1 / 24.06.2020";"1";3000;0;3000;"1690244322"
"15";"VIP DIGITAL d.o.o.";"VIP DIGITAL d.o.o.";"23175133566";"Ulica Stanka Vraza 29, Varaždin";"2020-00007 / 24.06.2020";"40";3000;0;3000;"1690244322"
"16";"Diadora Media d.o.o.";"Diadora Media d.o.o.";"67146130783";"Put Pudarice 11 H, Zadar";"130/1/1 / 25.06.2020";"1";4000;0;5000;"1690244322"
"17";"HRVATSKI RADIO ŽUPANJA";"HRVATSKI RADIO ŽUPANJA";"52978095437";"Veliki kraj 66/1, Županja";"05-0228/20 / 25.06.2020";"49";2000;0;2500;"1690244322"
"18";"KOMBEL d.o.o.";"KOMBEL d.o.o.";"24110100646";"Radnička 1b, Belišće";"1714/ko1/1 / 25.06.2020";"1";500;0;625;"1690244322"
"19";"MATIS d.o.o.";"MATIS d.o.o.";"89844134357";"Mirka Kleščića 1/1, Samobor";"93-1-1 / 25.06.2020";"1";1200;0;1500;"1690244322"
"20";"Median";"Šibenik IN portal";"46105682870";"Šibenik, Šibenik";"430-01-01-2020 / 25.06.2020";"4";5470;0;6837.5;"1690244322"
"21";"TELEVIZIJA ŠIBENIK d.o.o.";"TELEVIZIJA ŠIBENIK d.o.o.";"47605492007";"Put Bioca 15a, Šibenik";"73 / 25.06.2020";"3";4800;0;6000;"1690244322"
"22";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"23";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"24";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"25";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"26";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"27";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"28";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"29";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"30";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"31";"Akter Public";"RTL";"60260099259";"Krapinska 45, Zagreb";"901-AKT-1 / 26.06.2020";"1";13271.4;0;16589.25;"1690244322"
"32";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"33";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"34";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"35";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"36";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"37";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"38";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"39";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"40";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"41";"Akter Public d.o.o.";"DOMA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";757.5;0;946.87;"1690244322"
"42";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
"43";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
"44";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
"45";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
