Tijelo,1-5,6-10,11-15,16-20,21-40,41-60,61+,Median,Broj neodgovorenih,Najstariji neodgovoreni
Agencija za elektroničke medije,0,0,0,0,1,0,0,37,,
Agencija za investicije i konkurentnost,0,0,0,1,0,0,0,19,,
Agencija za komercijalnu djelatnost,1,0,0,0,0,0,0,2,,
Agencija za odgoj i obrazovanje,0,0,1,0,0,0,0,11,,
Agencija za poljoprivredno zemljište,1,0,0,0,0,0,0,2,,
Agencija za sigurnost željezničkog prometa,0,1,0,1,0,0,0,14,,
Agencija za ugljikovodike,0,1,0,0,0,0,0,7,,
Agencija za zaštitu okoliša,2,0,0,0,1,0,0,2,2,47 dana
Agencija za zaštitu osobnih podataka,0,0,0,1,0,0,0,18,1,5 dana
Agencija za znanost i visoko obrazovanje,0,0,0,0,0,1,0,42,1,140 dana
Croatia Airlines,0,0,0,0,1,0,0,22,,
Digitalni informacijsko-dokumentacijski ured Vlade Republike Hrvatske,4,1,0,0,0,0,0,2,,
Dom zdravlja Zagrebačke županije,0,0,0,0,0,0,0,,1,47 dana
Državna ergela Đakovo i Lipik,1,0,0,0,0,0,0,2,,
Državna geodetska uprava,0,0,1,0,0,0,0,15,1,107 dana
Državni hidrometeorološki zavod,0,0,0,0,1,0,0,40,1,47 dana
Državni ured za obnovu i stambeno zbrinjavanje,0,0,0,0,1,0,0,25,,
Državni ured za središnju javnu nabavu,0,0,1,0,0,0,0,13,,
Državni ured za upravljanje državnom imovinom,0,0,0,1,0,0,0,16,,
Državni zavod za intelektualno vlasništvo,0,2,1,0,0,0,0,10,,
Državni zavod za mjeriteljstvo,0,0,1,0,1,0,0,23,1,46 dana
Državni zavod za radiološku i nuklearnu sigurnost,0,0,0,0,1,1,0,38.5,,
Državni zavod za statistiku,0,1,0,0,3,0,0,27,,
Državno odvjetništvo Republike Hrvatske,0,0,0,1,1,0,0,25,,
Financijska agencija,0,0,0,0,0,0,0,,1,75 dana
Fond za zaštitu okoliša i energetsku učinkovitost,0,0,1,0,0,0,0,14,,
"Gimnazija Antuna Gustava Matoša, Đakovo",0,0,0,0,0,0,1,72,,
Grad Glina,0,1,0,0,1,0,0,15,,
Grad Imotski,0,0,0,0,0,0,0,,1,18 dana
Grad Novigrad,1,0,0,0,0,0,0,2,,
Grad Sinj,0,1,0,0,0,0,0,7,,
Grad Split,1,0,0,0,0,0,0,5,3,61 dana
Grad Velika Gorica,0,0,0,0,0,0,0,,2,142 dana
Grad Vodice,0,0,0,0,0,0,1,61,,
Grad Zadar,1,0,0,0,0,0,0,3,,
Grad Zagreb,0,0,1,0,2,3,4,57.5,6,116 dana
Grad Đakovo,0,1,1,0,2,0,0,16.5,3,109 dana
"Gradsko stambeno-komunalno gospodarstvo, Zagreb",0,0,0,0,0,0,0,,1,18 dana
Hrvatska agencija za civilno zrakoplovstvo,0,0,0,0,0,0,0,,1,17 dana
Hrvatska agencija za hranu,0,1,0,0,0,0,0,6,,
Hrvatska agencija za nadzor financijskih usluga,10,1,2,1,1,0,0,3,,
"Hrvatska agencija za okoliš i prirodu, Zagreb",1,0,1,0,0,0,0,6.5,1,2 dana
Hrvatska akademska i istraživačka mreža CARNet,0,0,1,0,0,0,1,54,,
Hrvatska akreditacijska agencija,1,0,0,1,0,0,0,9.5,,
Hrvatska elektroprivreda,1,1,2,0,0,0,0,9.5,,
Hrvatska gospodarska komora,1,0,0,1,0,0,0,12,,
Hrvatska narodna banka,2,0,0,0,1,0,0,5,1,58 dana
Hrvatska obrtnička komora,0,0,0,0,0,0,0,,1,49 dana
Hrvatska pošta,1,0,0,0,0,0,0,4,,
Hrvatska revizorska komora,0,0,0,0,0,0,0,,2,47 dana
Hrvatska turistička zajednica,2,0,1,0,1,0,0,7,,
Hrvatske ceste,1,0,1,0,0,0,0,9,,
Hrvatske vode,4,16,28,6,2,0,2,11,3,180 dana
Hrvatske šume,1,0,0,0,0,0,0,3,,
Hrvatski Crveni križ,0,0,0,0,0,0,0,,1,66 dana
Hrvatski operator tržišta energije,0,0,0,0,0,0,0,,1,47 dana
Hrvatski registar brodova,0,0,0,0,0,0,0,,1,97 dana
Hrvatski zavod za javno zdravstvo,1,0,0,1,1,0,0,20,11,116 dana
Hrvatski zavod za norme,1,0,0,0,1,0,0,13.5,,
Hrvatski zavod za toksikologiju i antidoping,0,0,0,0,0,0,1,69,,
Hrvatski zavod za zapošljavanje,1,0,0,0,1,0,0,15.5,,
