"url","Ulica","Povrsina","Vrsta","Korisnik","Nacin koristenja","Djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=144.%20BRIGADE%20HRVATSKE%20VOJSKE%200002","144. BRIGADE HRVATSKE VOJSKE 0002","244,04","poslovni prostor","Krajnik samoposlužni aparati d.o.o.","ugovor o zakupu","veleprodaja, distribucija i maloprodaja LED rasvjete - žarulja, panela, tube, reflektora, vanjske rasvjete, traka itd."
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=144.%20BRIGADE%20HRVATSKE%20VOJSKE%200006","144. BRIGADE HRVATSKE VOJSKE 0006","85,94","stan","HRVATSKO UDRUŽENJE ZA CROHNOVU BOLEST I ULCELOZNI KOLITIS","ugovor o korištenju","za potrebe redovnih aktivnosti udruge, radno terapijske radionice, druženja, realizaciju projektnih aktivnosti, smještaj roditelja djece koja se liječe u zagrebačkim bolnicama te smještaj teže oboljelih osoba koje na liječenje dolaze u Zagreb"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ADAMIČEVA%200001","ADAMIČEVA 0001","119,00","poslovni prostor","BAHUN D.O.O. / GARBINADA D.O.O.","ugovor o zakupu","prodaja i veleprodaja i zastupanje tvrtki"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ADAMIČEVA%200001","ADAMIČEVA 0001","173,71","poslovni prostor","PETIR IRENA","ugovor o zakupu","automehaničarska djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ADAMIČEVA%200001","ADAMIČEVA 0001","122,00","poslovni prostor","GREGUREK ZLATKO / STROJNA OBRADA GREGUREK d.o.o.","ugovor o zakupu","kovinotokarske djelatnosti"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ADAMIČEVA%200001","ADAMIČEVA 0001","49,40","poslovni prostor","PRVA TRGOVINA d.o.o.","ugovor o zakupu","vulkanizerske djelatnosti"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ADAMIČEVA%200001","ADAMIČEVA 0001","60,79","poslovni prostor","LMG FORTIS KONCEPT d.o.o.","ugovor o zakupu","pripremanja hrane i pružanja usluga prehrane, pripremanja i usluživanje pića i napitaka, pripremanja hrane za potrošnju na drugim mjestima sa ili bez usluživanja"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ADAMIČEVA%200001","ADAMIČEVA 0001","63,07","poslovni prostor","PRVA TRGOVINA d.o.o. / KOTAČIĆ j.d.o.o.","ugovor o zakupu","prodaje automobilskih guma za osobna i teretna vozila najpoznatijih svjetskih proizvođača guma Michelin, Goodyear, Sava, Bridgestone, Continental kao i strojeva, zračnih alata za servis i aluminijskih naplataka"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ADAMIČEVA%200001","ADAMIČEVA 0001","63,44","poslovni prostor","BUJAN ANTONIO","ugovor o zakupu","automehaničarske"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ADAMIČEVA%200001","ADAMIČEVA 0001","63,44","poslovni prostor","KOVAČEVIĆ NIKOLA / RUBOR d.o.o.","ugovor o zakupu","autoelektričarske"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALBINIJEVA%200002","ALBINIJEVA 0002","40,00","sklonište","GLAZBENA GRUPA XV","ugovor o privremenom korištenju","za potrebe rada udruge"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALBINIJEVA%200004","ALBINIJEVA 0004","79,36","poslovni prostor","LESAR ŽELJKO","ugovor o privremenom korištenju","potrebe ateljea"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALBINIJEVA%200006","ALBINIJEVA 0006","21,38","poslovni prostor","VULKANIZER ZLATKO D.O.O.","ugovor o zakupu","vulkanizerske djelatnosti montaža i demontaža auto guma, balansiranje auto guma, vulkanizacja auto guma, popravak zračnica, postava guma na auto"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALBINIJEVA%200010","ALBINIJEVA 0010","77,97","poslovni prostor","HANŽEK MARIJO","ugovor o zakupu","servisiranje kompletne proizvodne palete audio, video i TV uređaja Grunding"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20ANTUNA%20AUGUSTINČIĆA%200014","ALEJA ANTUNA AUGUSTINČIĆA 0014","105,41","poslovni prostor","DJEVELJEKAJ SIMON","ugovor o zakupu","pekarske"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20ANTUNA%20AUGUSTINČIĆA%200014","ALEJA ANTUNA AUGUSTINČIĆA 0014","39,00","poslovni prostor","LEBAROVIĆ DALIBOR","ugovor o zakupu","urarske"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20BLAŽA%20JURIŠIĆA%200009","ALEJA BLAŽA JURIŠIĆA 0009","18,00","poslovni prostor","DJEČJI VRTIĆ ""DJEČJA IGRA""","ugovor o zakupu","dječji vrtić"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20BLAŽA%20JURIŠIĆA%200009","ALEJA BLAŽA JURIŠIĆA 0009","285,19","poslovni prostor","DJEČJI VRTIĆ ""DJEČJA IGRA""","ugovor o zakupu","dječji vrtić"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/A","ALEJA LIPA 0001/A","19,61","garaža","KARLO ŠTEFANAC","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/A","ALEJA LIPA 0001/A","16,30","garaža","KARLO ŠTEFANAC","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/B","ALEJA LIPA 0001/B","15,64","garaža","KARLO ŠTEFANAC","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/B","ALEJA LIPA 0001/B","25,11","garaža","KOZLINA","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/B","ALEJA LIPA 0001/B","314,00","poslovni prostor","Dječji vrtić Medo Brundo","u korištenju ustanove u vlasništvu Grada",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/B","ALEJA LIPA 0001/B","20,78","garaža","AKMADŽIĆ NENAD","ugovor o zakupu","smještaj vozila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/C","ALEJA LIPA 0001/C","20,67","garaža","MATEJ ŠMIT","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/C","ALEJA LIPA 0001/C","19,61","garaža","STIPE KULAŠ","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/D","ALEJA LIPA 0001/D","22,53","garaža","DAMIR MEĐEŠI","ugovor o zakupu","smještaj osobnog vozila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/E","ALEJA LIPA 0001/E","27,80","poslovni prostor","SEDMO SUNCE D.O.O. / SALUSVITA JDOO","ugovor o zakupu","frizerski salon za žene i muškarce"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/F","ALEJA LIPA 0001/F","210,26","poslovni prostor","POLIKLINIKA BULJUBAŠIĆ DOO","ugovor o zakupu","djelatnost iz grana kirurgije /abdominalna, vaskularna, traumatologija i plastična kirurgija/, interne medicine /kardilologija, reumatologija, endokrinologija, pulmologija, gastroenterologija/, ortopedije i fizikalne medicine"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/F","ALEJA LIPA 0001/F","17,12","garaža","HERCEZI MARTINA","ugovor o zakupu","smještaj vozila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/G","ALEJA LIPA 0001/G","14,57","garaža","MLADEN RUSAN","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/H","ALEJA LIPA 0001/H","19,61","garaža","MLADEN GLUMAC","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/H","ALEJA LIPA 0001/H","166,47","poslovni prostor","ZAVOD ZA JAVNO ZDRAVSTVO GRADA ZAGREBA","upravljanje i korištenje","za potrebe ordinacije školske medicine i savjetovališta za mlade"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/H","ALEJA LIPA 0001/H","89,25","poslovni prostor","LOTESA D.O.O.","ugovor o zakupu","uredska djelatnost - računovodstvene, knjigovodstvene i revizijske djelatnosti"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20LIPA%200001/H","ALEJA LIPA 0001/H","12,37","garaža","DAMIR VIŠIĆ","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20TIŠINE%200026","ALEJA TIŠINE 0026","13,95","poslovni prostor","MAVRIN MILKA","ugovor o zakupu","cvjećarstva i svjećarstva"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20TIŠINE%200026","ALEJA TIŠINE 0026","13,95","poslovni prostor","MAVRIN RENATO","ugovor o zakupu","trgovine cvijećem i svijećama"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20TIŠINE%200026","ALEJA TIŠINE 0026","14,20","poslovni prostor","MAVRIN RENATO / ORHIDEJA CVJEĆARSTVO JDOO","ugovor o zakupu","trgovačke djelatnosti prodaje cvijeća i cvjećarsko aranžerskih usluga"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20TIŠINE%200026","ALEJA TIŠINE 0026","13,95","poslovni prostor","ŠIMIĆ VERA","ugovor o zakupu","trgovačka djelatnost cvijećem i svijećama"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20TIŠINE%200028","ALEJA TIŠINE 0028","19,40","poslovni prostor","VANJOREK MATEA / VANJOREK j.d.o.o.","ugovor o zakupu","trgovina na malo cvijećem"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20TIŠINE%200030","ALEJA TIŠINE 0030","13,95","poslovni prostor","KOLARIĆ DAMIR","ugovor o zakupu","cvjećarsko aranžerskih usluga"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20TIŠINE%200030","ALEJA TIŠINE 0030","13,95","poslovni prostor","MAVRIN IVAN","ugovor o zakupu","cvjećarske i cvjećarsko-aranžerske djelatnosti"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20TIŠINE%200030","ALEJA TIŠINE 0030","14,20","poslovni prostor","MAVRIN IVAN","ugovor o zakupu","trgovina cvijeća i svijeća"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=ALEJA%20TIŠINE%200030","ALEJA TIŠINE 0030","13,95","poslovni prostor","VANJOREK MATEA / VANJOREK j.d.o.o.","ugovor o zakupu","trgovina cvijećem i svijećama"
