"Šifra","Naziv županije","Naziv JLS-a","2012.","2013.","2014.","2015.","2016.","2017.","2018.","2019.","""-"" označava da nema transakcija","","",""
"","","","","","","","","","","","""z"" označava da ima manje od 10 transakcija pa podaci, radi privatnosti, nisu prikazani","","",""
"19","Vukovarsko-srijemska","ANDRIJAŠEVCI","z","-","-","-","-","-","-",".","","","",""
"27","Osječko-baranjska","ANTUNOVAC","z","-","-","-","-","-","-","z","","","",""
"35","Vukovarsko-srijemska","BABINA GREDA","-","-","-","-","-","-","-",".","","","",""
"43","Primorsko-goranska","BAKAR","z","z","5,095.94 ","z","z","z","5,571.3","4,061.66","","","",""
"51","Istarska","BALE - VALLE","z","z","z","-","z","z","z","z","","","",""
"60","Istarska","BARBAN","z","-","z","-","z","-","z",".","","","",""
"78","Karlovačka","BARILOVIĆ","-","-","-","-","-","-","-",".","","","",""
"86","Primorsko-goranska","BAŠKA","9,987.49 ","10,932.55 ","11,730.46 ","12,268.62 ","10,000.00 ","11,542.0","10,748.8","12,033.73","","","",""
"94","Splitsko-dalmatinska","BAŠKA VODA","12,765.75 ","12,106.82 ","10,661.39 ","9,607.24 ","10,665.54 ","12,000.9","10,128.4","11,482.25","","","",""
"108","Brodsko-posavska","BEBRINA","-","-","-","-","-","-","-","z","","","",""
"116","Krapinsko-zagorska","BEDEKOVČINA","z","z","z","z","z","z","z","z","","","",""
"5509","Zagrebačka","BEDENICA","-","-","-","-","-","-","-",".","","","",""
"124","Varaždinska","BEDNJA","z","z","z","-","-","-","z","z","","","",""
"132","Osječko-baranjska","BELI MANASTIR","1,765.05 ","1,777.87 ","1,765.65 ","1,765.66 ","2,108.24 ","2,074.8","2,627.4","2,473.30","","","",""
"159","Međimurska","BELICA","-","-","-","z","-","-","-",".","","","",""
"167","Osječko-baranjska","BELIŠĆE","4,524.39 ","z","4,076.01 ","4,392.86 ","3,812.51 ","3,883.3","4,321.0","4,322.07","","","",""
"175","Zadarska","BENKOVAC","z","z","6,451.55 ","z","5,947.29 ","5,929.5","6,297.8","6,146.44","","","",""
"183","Bjelovarsko-bilogorska","BEREK","-","-","-","-","z","-","-",".","","","",""
"191","Varaždinska","BERETINEC","-","-","-","-","-","-","-",".","","","",""
"205","Zadarska","BIBINJE","z","z","z","z","-","z","z","9,816.84","","","",""
"6211","Šibensko-kninska","BILICE","z","-","-","-","-","z","-","z","","","",""
"213","Osječko-baranjska","BILJE","-","z","z","-","z","-","-","z","","","",""
"221","Zadarska","BIOGRAD NA MORU","10,601.48 ","9,672.32 ","9,787.57 ","8,731.47 ","8,537.30 ","8,807.9","7,901.5","8,581.90","","","",""
"3107","Šibensko-kninska","BISKUPIJA","-","-","-","-","-","-","-",".","","","",""
"5479","Zagrebačka","BISTRA","z","z","-","-","z","-","z","z","","","",""
"230","Osječko-baranjska","BIZOVAC","-","-","-","-","-","-","z",".","","","",""
"248","Bjelovarsko-bilogorska","BJELOVAR","6,083.40 ","5,690.75 ","5,593.80 ","5,539.86 ","5,221.91 ","5,558.8","5,342.0","5,595.12","","","",""
"256","Dubrovačko-neretvanska","BLATO","z","-","-","z","z","z","z","z","","","",""
"264","Vukovarsko-srijemska","BOGDANOVCI","-","-","-","-","-","-","-",".","","","",""
"272","Splitsko-dalmatinska","BOL","12,636.90 ","11,806.49 ","10,740.45 ","13,608.06 ","11,281.65 ","11,471.5","10,877.8","11,509.13","","","",""
"299","Vukovarsko-srijemska","BOROVO","z","-","z","-","-","-","-",".","","","",""
"302","Karlovačka","BOSILJEVO","-","-","-","-","-","-","-",".","","","",""
"329","Vukovarsko-srijemska","BOŠNJACI","-","-","-","-","-","-","z",".","","","",""
"337","Zagrebačka","BRCKOVLJANI","z","z","-","-","z","-","z","125.64","","","",""
"345","Zagrebačka","BRDOVEC","z","z","z","z","z","-","z","z","","","",""
"779","Splitsko-dalmatinska","BRELA","z","z","z","z","z","10,043.3","z","z","","","",""
"353","Požeško-slavonska","BRESTOVAC","-","-","-","-","-","-","-",".","","","",""
"361","Varaždinska","BREZNICA","-","-","-","-","-","-","-","z","","","",""
"1511","Varaždinska","BREZNIČKI HUM","-","-","-","-","-","-","-",".","","","",""
"370","Ličko-senjska","BRINJE","z","-","-","z","-","-","-","z","","","",""
"388","Primorsko-goranska","BROD MORAVICE","-","-","-","z","-","-","z",".","","","",""
"396","Brodsko-posavska","BRODSKI STUPNIK","-","-","-","-","z","-","-","z","","","",""
"400","Istarska","BRTONIGLA - VERTENEGLIO","10,129.18 ","z","z","8,153.64 ","7,588.48 ","9,428.0","8,791.0","9,245.20","","","",""
"418","Krapinsko-zagorska","BUDINŠČINA","-","z","-","-","-","-","-","z","","","",""
"426","Istarska","BUJE - BUIE","8,740.10 ","8,147.06 ","7,308.35 ","7,684.77 ","6,596.76 ","5,768.7","7,660.5","7,333.68","","","",""
"5673","Brodsko-posavska","BUKOVLJE","-","-","-","-","-","-","-","z","","","",""
"434","Istarska","BUZET","z","z","z","z","z","z","z","5,800.83","","","",""
"558","Primorsko-goranska","ČABAR","z","-","z","z","z","z","z","z","","","",""
"566","Virovitičko-podravska","ČAČINCI","z","-","-","-","-","-","z","z","","","",""
"574","Virovitičko-podravska","ČAĐAVICA","-","z","-","-","-","-","-",".","","","",""
"582","Požeško-slavonska","ČAGLIN","-","z","-","-","-","-","-",".","","","",""
"604","Međimurska","ČAKOVEC","7,812.18 ","6,498.10 ","7,876.03 ","6,128.41 ","6,517.28 ","6,836.3","6,592.7","6,100.14","","","",""
